iter residual
 159 1.000000e+00
 160 1.785490e-01
 161 6.390021e-02
 162 3.027073e-02
 163 1.501806e-02
 164 7.672185e-03
 165 4.074808e-03
 166 2.216549e-03
 167 1.222875e-03
 168 6.804380e-04
 169 3.806066e-04
 170 2.135988e-04
 171 1.201270e-04
 172 6.764989e-05
 173 3.812797e-05
 174 2.149754e-05
 175 1.212135e-05
 176 6.832738e-06
 177 3.849392e-06
 178 2.166788e-06
 179 1.218255e-06
 180 6.839457e-07
 181 3.832951e-07
 182 2.143625e-07
 183 1.195929e-07
 184 6.652933e-08
 185 3.689499e-08
 186 2.039782e-08
 187 1.124216e-08
 188 6.173899e-09
 189 3.375618e-09
 190 1.836315e-09
 191 9.939716e-10
