iter residual
  90 1.000000e+00
  91 4.232473e-01
  92 1.456893e-01
  93 6.101603e-02
  94 2.838145e-02
  95 1.382452e-02
  96 6.991398e-03
  97 3.595507e-03
  98 1.847011e-03
  99 9.374464e-04
 100 4.677529e-04
 101 2.300651e-04
 102 1.122337e-04
 103 5.479238e-05
 104 2.708144e-05
 105 1.371554e-05
 106 7.158271e-06
 107 3.826174e-06
 108 2.064462e-06
 109 1.108817e-06
 110 5.880635e-07
 111 3.076236e-07
 112 1.595193e-07
 113 8.277187e-08
 114 4.343226e-08
 115 2.320591e-08
 116 1.262074e-08
 117 6.939571e-09
 118 3.823240e-09
 119 2.094408e-09
 120 1.135162e-09
 121 6.071598e-10
 122 3.202011e-10
 123 1.665393e-10
 124 8.550025e-11
