iter residual
 192 1.000000e+00
 193 1.285855e-01
 194 4.681482e-02
 195 2.230251e-02
 196 1.101249e-02
 197 5.722359e-03
 198 3.076010e-03
 199 1.687504e-03
 200 9.395864e-04
 201 5.284751e-04
 202 2.992171e-04
 203 1.701773e-04
 204 9.709139e-05
 205 5.551863e-05
 206 3.179932e-05
 207 1.823645e-05
 208 1.046840e-05
 209 6.013768e-06
 210 3.456781e-06
 211 1.987945e-06
 212 1.143677e-06
 213 6.581674e-07
 214 3.788563e-07
 215 2.181189e-07
 216 1.255947e-07
 217 7.232518e-08
 218 4.165160e-08
 219 2.398738e-08
 220 1.381427e-08
 221 7.955202e-09
 222 4.580748e-09
