iter residual
   0 1.000000e+00
   0 2.523099e+04
   0 3.439890e+02
   0 3.207192e+01
   0 5.353467e+00
   0 1.087965e+00
   0 5.397504e-02
   0 2.175114e-03
   0 6.774043e-04
   0 2.993571e-04
   0 1.555238e-04
   0 9.021662e-05
   0 5.585553e-05
   0 3.581432e-05
   0 2.342905e-05
   0 1.551434e-05
   0 1.035467e-05
   0 6.948314e-06
   0 4.680414e-06
   0 3.161566e-06
   0 2.140059e-06
   0 1.450902e-06
   0 9.848803e-07
   0 6.691874e-07
   0 4.550367e-07
   0 3.096105e-07
   0 2.107691e-07
   0 1.435431e-07
   0 9.779412e-08
   0 6.664597e-08
   0 4.543049e-08
   0 3.097550e-08
   0 2.112389e-08
   0 1.440804e-08
   0 9.828760e-09
   0 6.705850e-09
   0 4.575773e-09
   0 3.122592e-09
   0 2.131169e-09
   0 1.454666e-09
