iter residual
 122 1.000000e+00
 123 5.787049e-02
 124 2.298491e-02
 125 1.080925e-02
 126 5.283915e-03
 127 2.641262e-03
 128 1.347928e-03
 129 7.011197e-04
 130 3.706889e-04
 131 1.986142e-04
 132 1.075525e-04
 133 5.873401e-05
 134 3.229157e-05
 135 1.785128e-05
 136 9.913233e-06
 137 5.525986e-06
 138 3.090343e-06
 139 1.733052e-06
 140 9.742598e-07
 141 5.488677e-07
 142 3.097609e-07
 143 1.750195e-07
 144 9.898808e-08
 145 5.605878e-08
 146 3.174988e-08
 147 1.792052e-08
 148 1.004562e-08
 149 5.590267e-09
 150 3.097547e-09
 151 1.716130e-09
