iter residual
   0 1.000000e+00
   0 4.295527e+00
   0 2.089775e-01
   0 1.606272e-02
   0 4.110227e-03
   0 1.091167e-03
   0 4.134350e-04
   0 1.714044e-04
   0 9.875111e-05
   0 5.500251e-05
   0 3.096216e-05
   0 1.730147e-05
   0 9.653402e-06
   0 5.374290e-06
   0 2.985323e-06
   0 1.653299e-06
   0 9.088368e-07
   0 4.983851e-07
   0 2.762190e-07
   0 1.520471e-07
   0 8.390243e-08
   0 4.566507e-08
   0 2.584535e-08
   0 1.440216e-08
   0 7.672579e-09
   0 4.819269e-09
   0 3.331902e-09
