iter residual
  92 1.000000e+00
  93 7.372379e-02
  94 2.956613e-02
  95 1.379245e-02
  96 6.722291e-03
  97 3.370307e-03
  98 1.728284e-03
  99 9.025207e-04
 100 4.781592e-04
 101 2.563087e-04
 102 1.386483e-04
 103 7.538715e-05
 104 4.079356e-05
 105 2.177156e-05
 106 1.145478e-05
 107 5.978607e-06
 108 3.117986e-06
 109 1.631565e-06
 110 8.568133e-07
 111 4.505735e-07
 112 2.366292e-07
 113 1.238504e-07
 114 6.452947e-08
 115 3.345619e-08
 116 1.726110e-08
 117 8.864190e-09
 118 4.532360e-09
 119 2.308169e-09
 120 1.171149e-09
 121 5.922329e-10
