iter residual
  62 1.000000e+00
  63 1.224162e-01
  64 4.534152e-02
  65 2.072507e-02
  66 9.646873e-03
  67 4.547540e-03
  68 2.137432e-03
  69 1.001365e-03
  70 4.761152e-04
  71 2.288365e-04
  72 1.101156e-04
  73 5.275024e-05
  74 2.512051e-05
  75 1.190075e-05
  76 5.615662e-06
  77 2.642215e-06
  78 1.240503e-06
  79 5.814405e-07
  80 2.721692e-07
  81 1.272653e-07
  82 5.945801e-08
  83 2.776000e-08
  84 1.295418e-08
  85 6.042936e-09
  86 2.818353e-09
  87 1.314341e-09
  88 6.129684e-10
  89 2.859109e-10
  90 1.333914e-10
  91 6.225337e-11
