iter residual
 125 1.000000e+00
 126 2.717113e-01
 127 9.765617e-02
 128 4.510945e-02
 129 2.151794e-02
 130 1.090822e-02
 131 5.768302e-03
 132 3.128537e-03
 133 1.712214e-03
 134 9.391185e-04
 135 5.130494e-04
 136 2.795614e-04
 137 1.521880e-04
 138 8.268306e-05
 139 4.473520e-05
 140 2.408533e-05
 141 1.292155e-05
 142 6.922779e-06
 143 3.709308e-06
 144 1.988101e-06
 145 1.065041e-06
 146 5.695337e-07
 147 3.036394e-07
 148 1.612485e-07
 149 8.525352e-08
 150 4.486853e-08
 151 2.351299e-08
 152 1.227837e-08
 153 6.396248e-09
 154 3.328550e-09
 155 1.733393e-09
 156 9.055726e-10
 157 4.761269e-10
 158 2.527374e-10
