iter residual
 223 1.000000e+00
 224 8.782235e-02
 225 3.201699e-02
 226 1.541287e-02
 227 7.681819e-03
 228 3.999963e-03
 229 2.157248e-03
 230 1.189060e-03
 231 6.652056e-04
 232 3.759830e-04
 233 2.140460e-04
 234 1.224851e-04
 235 7.035523e-05
 236 4.052619e-05
 237 2.339434e-05
 238 1.352730e-05
 239 7.832150e-06
 240 4.539453e-06
 241 2.633237e-06
 242 1.528524e-06
 243 8.877631e-07
 244 5.158474e-07
 245 2.998538e-07
 246 1.743543e-07
 247 1.014068e-07
 248 5.899207e-08
 249 3.432396e-08
 250 1.997408e-08
